,epoch,training loss,eval accuracy,eval loss
0,1,1.6528971195220947,0.48889999389648436,1.4722998142242432
1,2,1.1934523582458496,0.5906000137329102,1.2106273174285889
2,3,1.0087536573410034,0.6886000061035156,0.8815745115280151
3,4,0.8648410439491272,0.7288999938964844,0.7831637263298035
4,5,0.7531006336212158,0.7406999969482422,0.7604143619537354
5,6,0.6726311445236206,0.7743000030517578,0.6534029245376587
6,7,0.6029803156852722,0.7878999328613281,0.6037912368774414
7,8,0.5485178828239441,0.8065999603271484,0.5615871548652649
8,9,0.503832221031189,0.8256999969482421,0.5254082083702087
9,10,0.45452868938446045,0.784000015258789,0.6333332657814026
